name,state,adm_rate,cost,earnings
University of California-Berkeley,CA,0.1602,13707,60800
University of California-Davis,CA,0.4037,15514,56400
University of California-Irvine,CA,0.3742,12771,54500
University of California-Los Angeles,CA,0.1856,13399,59600
University of California-Riverside,CA,0.5829,13144,47200
University of California-San Diego,CA,0.3329,14136,59000
University of California-Santa Barbara,CA,0.3634,15755,51400
University of California-Santa Cruz,CA,0.5572,16086,43000
