INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Alaska Christian College,AK,NULL,NULL,NULL,68
Alaska Pacific University,AK,0.4207,NULL,47000,275
Albany BOCES-Adult Practical Nursing Program,NY,NULL,16899,35200,141
Albany College of Pharmacy and Health Sciences,NY,0.674,NULL,118800,1076
Albany Law School,NY,NULL,NULL,72400,NULL
Albany Medical College,NY,NULL,NULL,214400,NULL
Albany State University,GA,0.4729,12718,31500,3261
Albany Technical College,GA,NULL,1826,21600,3424
Albert I Prince Technical High School,CT,NULL,NULL,PrivacySuppressed,56
Albertus Magnus College,CT,NULL,NULL,52100,1249
Albion College,MI,0.6079,NULL,44900,1249
Albright College,PA,0.5007,NULL,45800,2340
Alcorn State University,MS,0.7844,15112,30400,3006
Alderson Broaddus University,WV,0.4258,NULL,46000,1024
Alexander Academy,MA,NULL,NULL,NULL,58
Alexander Paul Institute of Hair Design,NC,0.8889,NULL,NULL,29
Alexandria School of Scientific Therapeutics,IN,1,NULL,PrivacySuppressed,37
Alexandria Technical & Community College,MN,NULL,14865,35100,1663
Alfred University,NY,0.6944,NULL,41600,1842
Alhambra Beauty College,CA,NULL,NULL,14200,92
Alice Lloyd College,KY,0.3617,NULL,33500,657
All Beauty College,AZ,NULL,NULL,NULL,37
All Beauty College,AZ,NULL,NULL,NULL,53
All-State Career School-Allied Health Campus,PA,NULL,NULL,32000,322
All-State Career School-Lester,PA,NULL,NULL,32000,314
All-State Career School-Pittsburgh,PA,NULL,NULL,35100,269
All-State Career-Baltimore,MD,NULL,NULL,34300,714
Allan Hancock College,CA,NULL,5038,29800,9738
Allegany College of Maryland,MD,NULL,9211,29300,2585
Allegheny College,PA,0.7177,NULL,48400,1968
Allegheny Wesleyan College,OH,NULL,NULL,PrivacySuppressed,53
Allen College,IA,0,NULL,49100,379
Allen County Community College,KS,NULL,6504,29100,2628
Allen School-Brooklyn,NY,NULL,NULL,28800,476
Allen School-Jamaica,NY,NULL,NULL,28800,322
Allen School-Phoenix,AZ,NULL,NULL,28800,962
Allen University,SC,NULL,NULL,21100,660
Alliance Computing Solutions,NY,NULL,NULL,NULL,36
Alliant International University-Fresno,CA,NULL,NULL,56000,NULL
Alliant International University-Irvine,CA,NULL,NULL,56000,NULL
Alliant International University-Los Angeles,CA,NULL,NULL,56000,NULL
Alliant International University-Sacramento,CA,NULL,NULL,56000,NULL
Alliant International University-San Diego,CA,0.3855,NULL,56000,236
Alliant International University-San Francisco,CA,NULL,NULL,56000,NULL
Allied American University,CA,NULL,NULL,NULL,2202
Allstate Hairstyling & Barber College,OH,NULL,NULL,NULL,34
Alma College,MI,0.7198,NULL,43200,1362
Alpena Community College,MI,NULL,3886,26900,1282
Altoona Beauty School Inc,PA,NULL,NULL,12700,60
Alvareitas College of Cosmetology-Belleville,IL,NULL,NULL,PrivacySuppressed,13
Alvareitas College of Cosmetology-Edwardsville,IL,NULL,NULL,PrivacySuppressed,47
