INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Dade Medical College-Miami,FL,NULL,NULL,PrivacySuppressed,1037
Dade Medical College-Miami Lakes,FL,NULL,NULL,PrivacySuppressed,439
Dade Medical College-West Palm Beach,FL,NULL,NULL,PrivacySuppressed,263
Daemen College,NY,0.549,NULL,38300,1965
Dakota College at Bottineau,ND,NULL,9112,32000,465
Dakota County Technical College,MN,NULL,12565,35200,2389
Dakota State University,SD,0.842,15044,37300,1770
Dakota Wesleyan University,SD,0.7343,NULL,34500,765
Dallas Baptist University,TX,0.4621,NULL,42400,3357
Dallas Barber & Stylist College,TX,NULL,NULL,PrivacySuppressed,141
Dallas Christian College,TX,0.3796,NULL,37500,309
Dallas Institute of Funeral Service,TX,NULL,NULL,37500,128
Dallas Nursing Institute,TX,0.1346,NULL,26700,160
Dallas Theological Seminary,TX,NULL,NULL,NULL,NULL
Dalton State College,GA,NULL,6192,29400,4671
Dance Theatre of Harlem Inc,NY,0.2586,NULL,NULL,3
Daniel Webster College,NH,0.6289,NULL,50500,644
Danville Area Community College,IL,NULL,8520,25300,2212
Danville Community College,VA,NULL,6159,26500,2243
Danville Regional Medical Center School of Health Professions,VA,NULL,NULL,54000,7
Daoist Traditions College of Chinese Medical Arts,NC,NULL,NULL,NULL,NULL
Dartmouth College,NH,0.115,NULL,67800,4184
Darton State College,GA,NULL,7332,30400,5300
Davenport University,MI,0.9338,NULL,29000,6348
Davenport University - Treasury Site Dimondale,MI,NULL,NULL,NULL,NULL
Davenport University-Battle Creek Location,MI,NULL,NULL,29000,NULL
Davenport University-Flint Location,MI,NULL,NULL,29000,NULL
Davenport University-Grand Rapids Downtown,MI,NULL,NULL,NULL,NULL
Davenport University-Holland Location,MI,NULL,NULL,29000,NULL
Davenport University-Kalamazoo Location,MI,NULL,NULL,29000,NULL
Davenport University-Lansing Location,MI,NULL,NULL,29000,NULL
Davenport University-Livonia Location,MI,NULL,NULL,29000,NULL
Davenport University-Midland Location,MI,NULL,NULL,29000,NULL
Davenport University-Saginaw Location,MI,NULL,NULL,29000,NULL
Davenport University-Traverse City Location,MI,NULL,NULL,29000,NULL
Davenport University-Warren Location,MI,NULL,NULL,29000,NULL
David Pressley School of Cosmetology,MI,NULL,NULL,19900,181
David's Academy of Beauty,CA,NULL,NULL,12300,90
Davidson College,NC,0.2167,NULL,51800,1765
Davidson County Community College,NC,NULL,8270,24700,3478
Davis & Elkins College,WV,0.5822,NULL,35000,839
Davis Applied Technology College,UT,NULL,NULL,26800,1780
Davis College,NY,0.4779,NULL,28500,252
Davis College,OH,NULL,NULL,25600,190
Dawn Career Institute Inc,DE,NULL,NULL,22400,226
Dawson Community College,MT,NULL,3620,30600,237
Day Spa Career College,MS,NULL,NULL,PrivacySuppressed,35
Daymar College-Bellevue,KY,NULL,NULL,22100,29
Daymar College-Bowling Green,KY,NULL,NULL,22500,239
Daymar College-Chillicothe,OH,NULL,NULL,20100,38
Daymar College-Jackson,OH,NULL,NULL,20100,34
Daymar College-Lancaster,OH,NULL,NULL,20100,45
Daymar College-Louisville,KY,NULL,NULL,22100,21
Daymar College-Louisville,KY,NULL,NULL,22100,1
Daymar College-Madisonville,KY,NULL,NULL,22100,25
Daymar College-New Boston,OH,NULL,NULL,20100,52
Daymar College-Online,KY,NULL,NULL,22100,257
Daymar College-Owensboro,KY,NULL,NULL,22100,94
Daymar College-Paducah Main,KY,NULL,NULL,21500,47
Daymar Institute-Clarksville,TN,NULL,NULL,22500,513
Daymar Institute-Murfreesboro,TN,NULL,NULL,22500,131
Daymar Institute-Nashville,TN,NULL,NULL,22500,89
Dayton Barber College,OH,NULL,NULL,9500,55
Dayton School of Medical Massage,OH,NULL,NULL,PrivacySuppressed,257
Dayton School of Medical Massage-Lima,OH,NULL,NULL,PrivacySuppressed,NULL
Daytona College,FL,NULL,NULL,PrivacySuppressed,276
Daytona State College,FL,NULL,5234,27600,11815
DCI Career Institute,PA,NULL,NULL,28600,94
De Anza College,CA,NULL,4019,41900,20317
De Wolff College Hair Styling and Cosmetology,NM,NULL,NULL,15900,80
Dean College,MA,0.6866,NULL,31000,1256
Dean Institute of Technology,PA,NULL,NULL,38600,166
Debutantes School of Cosmetology and Nail Technology,IL,NULL,NULL,NULL,48
Defiance College,OH,0.6469,NULL,37800,801
Del Mar College,TX,NULL,4884,28400,10439
Delaware Area Career Center,OH,NULL,NULL,PrivacySuppressed,95
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,NY,0.6667,10724,32600,27
Delaware College of Art and Design,DE,0.4848,NULL,NULL,185
Delaware County Community College,PA,NULL,5428,34600,12459
Delaware County Technical School-Practical Nursing Program,PA,1,10537,47400,41
Delaware Learning Institute of Cosmetology,DE,NULL,NULL,PrivacySuppressed,70
Delaware State University,DE,0.4374,15655,33600,3654
Delaware Technical Community College-Owens,DE,NULL,7007,28800,3854
Delaware Technical Community College-Stanton/Wilmington,DE,NULL,7575,34000,6081
Delaware Technical Community College-Terry,DE,NULL,7426,30700,2740
Delaware Valley University,PA,0.7574,NULL,39500,1823
Delgado Community College,LA,NULL,7787,27600,16074
Dell'Arte International School of Physical Theatre,CA,NULL,NULL,PrivacySuppressed,24
Delmarva Beauty Academy,MD,NULL,NULL,17700,66
Delta Beauty College,MS,NULL,NULL,13700,48
Delta College,MI,NULL,4370,28600,8383
Delta College Inc,LA,NULL,NULL,20000,186
Delta College of Arts & Technology,LA,NULL,NULL,27400,414
Delta College of Arts & Technology-Lafayette Campus,LA,NULL,NULL,NULL,245
Delta College-Slidell Campus,LA,NULL,NULL,NULL,187
Delta Montrose Technical College,CO,NULL,9975,27000,239
Delta School of Business and Technology,LA,NULL,NULL,17800,208
Delta State University,MS,0.9234,15335,34100,2778
Delta Technical College,MS,NULL,NULL,29800,662
Demmons School of Beauty,LA,NULL,NULL,PrivacySuppressed,36
Denham Springs Beauty School,LA,NULL,NULL,PrivacySuppressed,83
Denison University,OH,0.5553,NULL,49500,2265
Denmark Technical College,SC,NULL,6468,15600,1668
Denver School of Nursing,CO,NULL,NULL,PrivacySuppressed,790
Denver Seminary,CO,NULL,NULL,NULL,NULL
DePaul University,IL,0.6988,NULL,50300,15858
DePauw University,IN,0.566,NULL,47700,2185
Des Moines Area Community College,IA,NULL,11171,34100,14356
Des Moines University-Osteopathic Medical Center,IA,NULL,NULL,PrivacySuppressed,NULL
DeSales University,PA,0.7965,NULL,47700,2383
Design Institute of San Diego,CA,NULL,NULL,32400,171
Design's School of Cosmetology,CA,NULL,NULL,PrivacySuppressed,49
Design's School of Cosmetology,CA,NULL,NULL,PrivacySuppressed,NULL
Designer Barber & Stylist School,AR,NULL,NULL,NULL,50
Detroit Business Institute-Downriver,MI,NULL,NULL,20100,73
DeVry College of New York,NY,0.7438,NULL,NULL,1301
DeVry University-Arizona,AZ,0.8658,NULL,NULL,991
DeVry University-California,CA,0.8204,NULL,NULL,6435
DeVry University-Colorado,CO,0.6909,NULL,NULL,747
DeVry University-Florida,FL,0.7541,NULL,NULL,1962
DeVry University-Georgia,GA,0.754,NULL,NULL,2265
DeVry University-Illinois,IL,0.7225,NULL,NULL,18055
DeVry University-Indiana,IN,0.9355,NULL,NULL,249
DeVry University-Maryland,MD,1,NULL,NULL,17
DeVry University-Michigan,MI,0.7,NULL,NULL,185
DeVry University-Minnesota,MN,0.7778,NULL,NULL,231
DeVry University-Missouri,MO,0.76,NULL,NULL,613
DeVry University-Nevada,NV,0.7143,NULL,NULL,291
DeVry University-New Jersey,NJ,0.8856,NULL,NULL,1314
DeVry University-North Carolina,NC,0.7059,NULL,NULL,414
DeVry University-Ohio,OH,0.854,NULL,NULL,2314
DeVry University-Oklahoma,OK,0.7,NULL,NULL,141
DeVry University-Oregon,OR,1,NULL,NULL,60
DeVry University-Pennsylvania,PA,0.8639,NULL,NULL,904
DeVry University-Tennessee,TN,0.6897,NULL,NULL,272
DeVry University-Texas,TX,0.8188,NULL,NULL,1982
DeVry University-Utah,UT,1,NULL,NULL,26
DeVry University-Virginia,VA,0.8485,NULL,NULL,695
DeVry University-Washington,WA,0.8621,NULL,NULL,372
DeVry University-Wisconsin,WI,0.6667,NULL,NULL,136
Dewey University-Arroyo,PR,NULL,NULL,16100,145
Dewey University-Bayamon,PR,NULL,NULL,16100,192
Dewey University-Carolina,PR,NULL,NULL,16100,722
Dewey University-Fajardo,PR,NULL,NULL,16100,192
Dewey University-Hatillo,PR,NULL,NULL,16100,158
Dewey University-Hato Rey,PR,NULL,NULL,16100,41
Dewey University-Hato Rey,PR,NULL,NULL,16100,1305
Dewey University-Juana Díaz,PR,NULL,NULL,16100,340
Dewey University-Manati,PR,NULL,NULL,16100,584
Dewey University-Mayaguez,PR,NULL,NULL,NULL,94
Diablo Valley College,CA,NULL,9213,38800,18314
Diamond Beauty College,CA,NULL,NULL,NULL,146
Diamonds Cosmetology College,TX,NULL,NULL,NULL,70
Dickinson College,PA,0.4809,NULL,53300,2315
Dickinson State University,ND,0.6103,10703,38800,1231
Diesel Driving Academy-Baton Rouge,LA,NULL,NULL,PrivacySuppressed,290
Diesel Driving Academy-Shreveport,LA,NULL,NULL,PrivacySuppressed,242
DigiPen Institute of Technology,WA,0.6488,NULL,79400,932
Digital Film Academy,NY,NULL,NULL,NULL,88
Digital Media Arts College,FL,NULL,NULL,PrivacySuppressed,289
DiGrigoli School of Cosmetology,MA,NULL,NULL,NULL,24
Dillard University,LA,0.4059,NULL,32800,1200
Diman Regional Technical Institute,MA,0.2848,15049,PrivacySuppressed,80
Dine College,AZ,NULL,8153,20900,1420
Divers Academy International,NJ,NULL,NULL,49400,211
Divers Institute of Technology,WA,NULL,NULL,52100,232
Diversified Vocational College,CA,NULL,NULL,18200,679
Divine Crown Academy of Cosmetology,PA,NULL,NULL,NULL,29
Divine Word College,IA,0.9091,NULL,PrivacySuppressed,86
Dixie Applied Technology College,UT,NULL,13997,NULL,219
Dixie State University,UT,NULL,11645,33600,7443
DLP Conemaugh Memorial Medical Center,PA,0.9565,NULL,54000,242
Doane University-Arts & Sciences,NE,0.7935,NULL,42900,1064
Doane University-Graduate and Professional Studies,NE,NULL,NULL,42900,656
Dodge City Community College,KS,NULL,6552,31900,1187
Dominican College of Blauvelt,NY,0.6281,NULL,49500,1483
Dominican School of Philosophy & Theology,CA,NULL,NULL,NULL,NULL
Dominican University,IL,0.6067,NULL,42600,2149
Dominican University of California,CA,0.8092,NULL,51700,1448
Dominion School of Hair Design,VA,NULL,NULL,NULL,37
Don Roberts Beauty School,IN,NULL,NULL,PrivacySuppressed,61
Don Roberts School of Hair Design,IN,NULL,NULL,PrivacySuppressed,42
Dongguk University-Los Angeles,CA,NULL,NULL,PrivacySuppressed,20
Donna's Academy of Hair Design,MO,NULL,NULL,NULL,31
Donnelly College,KS,NULL,NULL,23600,463
Dordt College,IA,0.7299,NULL,38100,1343
Dorsey Business Schools-Dearborn,MI,NULL,NULL,NULL,232
Dorsey Business Schools-Farmington Hills,MI,NULL,NULL,22000,75
Dorsey Business Schools-Lansing,MI,NULL,NULL,NULL,142
Dorsey Business Schools-Madison Heights,MI,NULL,NULL,22000,197
Dorsey Business Schools-Roseville,MI,NULL,NULL,22000,480
Dorsey Business Schools-Roseville Culinary Academy,MI,NULL,NULL,22000,163
Dorsey Business Schools-Saginaw,MI,NULL,NULL,22000,207
Dorsey Business Schools-Southgate,MI,NULL,NULL,22000,143
Dorsey Business Schools-Waterford Pontiac,MI,NULL,NULL,22000,188
Dorsey Business Schools-Wayne,MI,NULL,NULL,22000,139
Douglas Education Center,PA,NULL,NULL,21800,267
Douglas J Aveda Institute,MI,NULL,NULL,21500,826
Dowling College,NY,0.7836,NULL,41700,1281
Downey Adult School,CA,NULL,1872,NULL,1210
Drake College of Business-Elizabeth,NJ,NULL,NULL,25200,849
Drake College of Business-Newark,NJ,NULL,NULL,25200,1023
Drake University,IA,0.6926,NULL,55700,3290
Drew University,NJ,0.7017,NULL,50300,1356
Drexel University,PA,0.7601,NULL,62600,16681
Drury University,MO,0.7441,NULL,31700,3790
Du Bois Business College-Du Bois,PA,NULL,NULL,23800,90
Du Bois Business College-Huntingdon,PA,NULL,NULL,23800,80
Du Bois Business College-Oil City,PA,NULL,NULL,23800,29
duCret School of Arts,NJ,0.8889,NULL,PrivacySuppressed,41
Duke University,NC,0.1141,NULL,76700,6480
Duluth Business University,MN,NULL,NULL,23500,179
Dunwoody College of Technology,MN,0.724,NULL,46600,1069
Duquesne University,PA,0.7306,NULL,54600,5969
Durham Beauty Academy,NC,NULL,NULL,PrivacySuppressed,78
Durham Technical Community College,NC,NULL,5832,27200,4769
Dutchess BOCES-Practical Nursing Program,NY,0.4918,18331,36500,155
Dutchess Community College,NY,NULL,7088,32500,6885
DuVall's School of Cosmetology,TX,NULL,NULL,NULL,89
Dyersburg State Community College,TN,NULL,6149,26800,2001
E Q School of Hair Design,IA,NULL,NULL,18100,57
Eagle Gate College-Layton,UT,NULL,NULL,29500,210
Eagle Gate College-Murray,UT,NULL,NULL,29500,218
Eagle Gate College-Salt Lake City,UT,NULL,NULL,29500,99
Earlham College,IN,0.6452,NULL,33400,942
East Arkansas Community College,AR,NULL,3547,20900,732
East Carolina University,NC,0.7728,14981,39000,21207
East Central College,MO,NULL,6880,27100,2914
East Central Community College,MS,NULL,5208,27300,2255
East Central University,OK,0.9719,6100,34500,3636
East Georgia State College,GA,NULL,8216,30000,2847
East Los Angeles College,CA,NULL,7772,30400,32173
East Mississippi Community College,MS,NULL,3662,25000,4127
East San Gabriel Valley Regional Occupational Program,CA,NULL,16131,NULL,581
East Stroudsburg University of Pennsylvania,PA,0.8146,17598,43000,6125
East Tennessee State University,TN,0.9174,14800,34800,11162
East Texas Baptist University,TX,0.5599,NULL,37100,1183
East Valley Institute of Technology,AZ,NULL,9384,PrivacySuppressed,211
East West College of Natural Medicine,FL,NULL,NULL,PrivacySuppressed,5
East West College of the Healing Arts,OR,NULL,NULL,PrivacySuppressed,245
East-West Healing Arts Institute,WI,NULL,NULL,NULL,40
East-West University,IL,NULL,NULL,23000,555
Eastern Arizona College,AZ,NULL,6611,28700,4634
Eastern Center for Arts and Technology,PA,0.6154,14788,50100,106
Eastern College of Health Vocations-Little Rock,AR,NULL,NULL,18600,205
Eastern College of Health Vocations-New Orleans,LA,NULL,NULL,18600,153
Eastern Connecticut State University,CT,0.631,18450,43400,4793
Eastern Florida State College,FL,NULL,6787,28100,12454
Eastern Gateway Community College,OH,NULL,2809,23900,2514
Eastern Hills Academy of Hair Design,OH,NULL,NULL,18900,58
Eastern Idaho Technical College,ID,NULL,9090,26600,538
Eastern Illinois University,IL,0.4976,17127,39900,7525
Eastern International College-Belleville,NJ,NULL,NULL,31200,216
Eastern International College-Jersey City,NJ,NULL,NULL,31200,217
Eastern Iowa Community College District,IA,NULL,9400,29300,4062
Eastern Kentucky University,KY,0.7387,10686,34100,13323
Eastern Maine Community College,ME,NULL,9562,29900,2060
Eastern Mennonite University,VA,0.6044,NULL,37500,1198
Eastern Michigan University,MI,0.6887,12955,37100,17723
Eastern Nazarene College,MA,0.5287,NULL,44900,1054
Eastern New Mexico University-Main Campus,NM,0.6306,10090,29300,3731
Eastern New Mexico University-Roswell Campus,NM,NULL,7528,29300,1847
Eastern New Mexico University-Ruidoso Campus,NM,NULL,7877,29300,468
Eastern Oklahoma County Technology Center,OK,NULL,NULL,PrivacySuppressed,131
Eastern Oklahoma State College,OK,NULL,7534,29800,1325
Eastern Oregon University,OR,0.6418,15551,37200,2997
Eastern School of Acupuncture and Traditional Medicine,NJ,NULL,NULL,PrivacySuppressed,58
Eastern Shore Community College,VA,NULL,5183,23700,579
Eastern Suffolk BOCES,NY,0.9596,15061,46400,346
Eastern University,PA,0.6218,NULL,41300,2381
Eastern Virginia Career College,VA,NULL,NULL,PrivacySuppressed,203
Eastern Virginia Medical School,VA,NULL,NULL,150900,NULL
Eastern Washington University,WA,0.7439,12619,41000,12402
Eastern West Virginia Community and Technical College,WV,NULL,3027,NULL,526
Eastern Wyoming College,WY,NULL,10450,25900,681
Eastfield College,TX,NULL,5353,31200,12174
Eastland-Fairfield Career and Technical Schools,OH,NULL,6121,27100,221
Eastwick College-Hackensack,NJ,0.276,NULL,27300,375
Eastwick College-Nutley,NJ,0.4614,NULL,33800,321
Eastwick College-Ramsey,NJ,0.3103,NULL,35100,865
Ecclesia College,AR,0.6429,NULL,PrivacySuppressed,164
Eckerd College,FL,0.7274,NULL,40700,2062
eClips School of Cosmetology and Barbering,MO,NULL,NULL,PrivacySuppressed,83
Ecotech Institute,CO,NULL,NULL,25300,375
ECPI University,VA,0.7949,NULL,37000,10258
ECPI University-Charleston,SC,NULL,NULL,NULL,NULL
ECPI University-Charlotte,NC,NULL,NULL,NULL,NULL
ECPI University-Columbia,SC,NULL,NULL,NULL,NULL
ECPI University-Concord,NC,NULL,NULL,NULL,NULL
ECPI University-Culinary Institute of Virginia,VA,NULL,NULL,NULL,NULL
ECPI University-Greensboro,NC,NULL,NULL,NULL,NULL
ECPI University-Greenville,SC,NULL,NULL,NULL,NULL
ECPI University-Innsbrook,VA,NULL,NULL,NULL,NULL
ECPI University-Manassas,VA,NULL,NULL,NULL,NULL
ECPI University-Newport News,VA,NULL,NULL,NULL,NULL
ECPI University-Raleigh,NC,NULL,NULL,NULL,NULL
ECPI University-Richmond South,VA,NULL,NULL,NULL,NULL
ECPI University-Richmond West,VA,NULL,NULL,NULL,NULL
ECPI University-Virginia Beach Health Sciences,VA,NULL,NULL,NULL,NULL
Ecumenical Theological Seminary,MI,NULL,NULL,NULL,24
Eden Theological Seminary,MO,NULL,NULL,NULL,NULL
Edgecombe Community College,NC,NULL,7812,23600,2274
Edgewood College,WI,0.7622,NULL,42000,1863
EDIC College,PR,0.7979,NULL,16700,1148
Edinboro University of Pennsylvania,PA,0.993,15053,34400,5494
Edison State Community College,OH,NULL,7867,26200,1971
Edmonds Community College,WA,NULL,7207,34300,4321
EDP School of Computer Programming,NY,NULL,NULL,NULL,105
EDP Univeristy of Puerto Rico Inc-San Juan,PR,0.7634,NULL,17900,1462
EDP University of Puerto Rico Inc-San Sebastian,PR,NULL,NULL,17900,1067
Education and Technology Institute,PA,NULL,NULL,NULL,0
Educational Technical College-Recinto de Bayamon,PR,NULL,NULL,14500,497
Educational Technical College-Recinto de Coamo,PR,NULL,NULL,14500,226
Educational Technical College-Recinto de san Sebastian,PR,NULL,NULL,14500,237
Educators of Beauty College of Cosmetology-La Salle,IL,NULL,NULL,16900,39
Educators of Beauty College of Cosmetology-Rockford,IL,NULL,NULL,14000,63
Educators of Beauty College of Cosmetology-Sterling,IL,NULL,NULL,14000,43
Edward Via College of Osteopathic Medicine,VA,NULL,NULL,NULL,NULL
Edward Waters College,FL,0.5295,NULL,23900,927
EHOVE Career Center,OH,NULL,9928,29900,326
EINE Inc,MA,NULL,NULL,PrivacySuppressed,43
El Camino College-Compton Center,CA,NULL,6731,30200,6734
El Camino Community College District,CA,NULL,8504,30200,22082
El Centro College,TX,NULL,6522,28100,8796
El Paso Community College,TX,NULL,3364,25100,27478
Elaine Sterling Institute,GA,NULL,NULL,NULL,167
Elaine Steven Beauty College,MO,NULL,NULL,15000,180
Electrical Training Center,NY,NULL,NULL,NULL,141
Elegance International,CA,NULL,NULL,14000,374
Elgin Community College,IL,NULL,5655,31300,8354
Eli Whitney Technical High School,CT,NULL,15119,PrivacySuppressed,42
Elite College of Cosmetology,TN,NULL,NULL,NULL,72
Elite Cosmetology School,CA,NULL,NULL,NULL,91
Elite School of Cosmetology,OH,NULL,NULL,NULL,40
Elite Welding Academy LLC,OH,NULL,NULL,NULL,55
Elizabeth City State University,NC,0.49,2509,29500,1763
Elizabeth Grady School of Esthetics and Massage Therapy,MA,NULL,NULL,26200,183
Elizabethtown College,PA,0.7082,NULL,48000,1754
Elizabethtown College School of Continuing and Professional Studies,PA,NULL,NULL,48000,341
Elizabethtown Community and Technical College,KY,NULL,5910,28200,5558
Ellsworth Community College,IA,NULL,11425,33900,769
Elmhurst College,IL,0.6771,NULL,48400,2773
Elmira Business Institute,NY,NULL,NULL,20900,400
Elmira College,NY,0.8221,NULL,42500,1318
Elon University,NC,0.5393,NULL,46500,5782
Embry-Riddle Aeronautical University-Daytona Beach,FL,0.7306,NULL,61500,4954
Embry-Riddle Aeronautical University-Prescott,AZ,0.8016,NULL,61500,1971
Embry-Riddle Aeronautical University-Worldwide,FL,0.6876,NULL,61500,9625
Emerald Coast Technical College,FL,NULL,5976,NULL,115
Emerson College,MA,0.4918,NULL,44900,3757
Emil Fries Piano Hospital and Training Center,WA,NULL,NULL,NULL,5
Emily Griffith Technical College,CO,NULL,5394,23700,3612
Emma's Beauty Academy-Juana Diaz,PR,NULL,NULL,13500,391
Emma's Beauty Academy-Mayaguez,PR,NULL,NULL,11400,388
Emmanuel Christian Seminary,TN,NULL,NULL,NULL,NULL
Emmanuel College,GA,0.4912,NULL,31200,727
Emmanuel College,MA,0.693,NULL,45500,1967
Emmaus Bible College,IA,0.3976,NULL,31000,216
Emory & Henry College,VA,0.7172,NULL,38600,997
Emory University,GA,0.2682,NULL,59400,7730
Emperor's College of Traditional Oriental Medicine,CA,NULL,NULL,NULL,NULL
Empire Beauty  School-Lehigh Valley,PA,NULL,NULL,19900,122
Empire Beauty School-Arlington Heights,IL,NULL,NULL,19900,138
Empire Beauty School-Augusta,GA,NULL,NULL,NULL,78
Empire Beauty School-Aurora,CO,NULL,NULL,19400,138
Empire Beauty School-Avondale,AZ,NULL,NULL,19900,193
Empire Beauty School-Bangor,ME,NULL,NULL,16900,NULL
Empire Beauty School-Bloomfield,NJ,NULL,NULL,16800,156
Empire Beauty School-Bloomington,MN,NULL,NULL,23700,104
Empire Beauty School-Bordentown,NJ,NULL,NULL,18600,94
Empire Beauty School-Boston,MA,NULL,NULL,18800,224
Empire Beauty School-Brooklyn,NY,NULL,NULL,16300,125
Empire Beauty School-Buffalo,NY,NULL,NULL,NULL,53
Empire Beauty School-Caribou,ME,NULL,NULL,16900,NULL
Empire Beauty School-Center City Philadelphia,PA,NULL,NULL,16700,349
Empire Beauty School-Chandler,AZ,NULL,NULL,17800,97
Empire Beauty School-Chenoweth,KY,NULL,NULL,18800,98
Empire Beauty School-Cherry Hill,NJ,NULL,NULL,17900,111
Empire Beauty School-Cincinnati,OH,NULL,NULL,23300,152
Empire Beauty School-Concord,NC,NULL,NULL,17300,103
Empire Beauty School-Dixie,KY,NULL,NULL,15300,68
Empire Beauty School-Dunwoody,GA,NULL,NULL,16600,157
Empire Beauty School-E Memphis,TN,NULL,NULL,16700,155
Empire Beauty School-Eden Prairie,MN,NULL,NULL,23700,47
Empire Beauty School-Elizabethtown,KY,NULL,NULL,13800,162
Empire Beauty School-Exton,PA,NULL,NULL,20500,67
Empire Beauty School-Flagstaff,AZ,NULL,NULL,17800,60
Empire Beauty School-Florence,KY,NULL,NULL,17300,137
Empire Beauty School-Framingham,MA,NULL,NULL,23000,79
Empire Beauty School-Glen Burnie,MD,NULL,NULL,19900,167
Empire Beauty School-Green Bay,WI,NULL,NULL,13600,76
Empire Beauty School-Gwinnett,GA,NULL,NULL,17600,147
Empire Beauty School-Hanover,PA,NULL,NULL,19800,86
Empire Beauty School-Hanover Park,IL,NULL,NULL,PrivacySuppressed,76
Empire Beauty School-Harrisburg,PA,NULL,NULL,21000,133
Empire Beauty School-Highland,KY,NULL,NULL,20200,48
Empire Beauty School-Hooksett,NH,NULL,NULL,18300,122
Empire Beauty School-Hurstborne,KY,NULL,NULL,16400,118
Empire Beauty School-Hyannis,MA,NULL,NULL,18800,72
Empire Beauty School-Indianapolis,IN,NULL,NULL,19400,202
Empire Beauty School-Jackson,TN,NULL,NULL,17900,78
Empire Beauty School-Jersey City,NJ,NULL,NULL,17800,58
Empire Beauty School-Kennesaw,GA,NULL,NULL,17600,171
Empire Beauty School-Laconia,NH,NULL,NULL,18300,83
Empire Beauty School-Lakewood,CO,NULL,NULL,22400,83
Empire Beauty School-Lancaster,PA,NULL,NULL,19500,83
Empire Beauty School-Lauderhill,FL,NULL,NULL,19500,99
Empire Beauty School-Laurel Springs,NJ,NULL,NULL,18600,94
Empire Beauty School-Lebanon,PA,NULL,NULL,PrivacySuppressed,44
Empire Beauty School-Lisle,IL,NULL,NULL,17400,57
Empire Beauty School-Littleton,CO,NULL,NULL,19400,76
Empire Beauty School-Lowell,MA,NULL,NULL,21700,98
Empire Beauty School-Maine,ME,NULL,NULL,16900,291
Empire Beauty School-Malden,MA,NULL,NULL,20400,134
Empire Beauty School-Manhattan,NY,NULL,NULL,16300,585
Empire Beauty School-Manitowoc,WI,NULL,NULL,16900,58
Empire Beauty School-Matthews,NC,NULL,NULL,17300,77
Empire Beauty School-Michigan,MI,NULL,NULL,15300,298
Empire Beauty School-Midlothian,VA,NULL,NULL,17500,132
Empire Beauty School-Milwaukee,WI,NULL,NULL,13600,93
Empire Beauty School-Monroeville,PA,NULL,NULL,19700,146
Empire Beauty School-Morrow,GA,NULL,NULL,26600,252
Empire Beauty School-Nashville,TN,NULL,NULL,16600,58
Empire Beauty School-NE Philadelphia,PA,NULL,NULL,19900,168
Empire Beauty School-North Hills,PA,NULL,NULL,17400,145
Empire Beauty School-NW Phoenix,AZ,NULL,NULL,20800,126
Empire Beauty School-Ocean,NJ,NULL,NULL,16800,89
Empire Beauty School-Owings Mills,MD,NULL,NULL,19900,110
Empire Beauty School-Paradise Valley,AZ,NULL,NULL,17800,25
Empire Beauty School-Paramus,NJ,NULL,NULL,14400,108
Empire Beauty School-Peekskill,NY,NULL,NULL,PrivacySuppressed,31
Empire Beauty School-Pineville,NC,NULL,NULL,17300,109
Empire Beauty School-Portsmouth,NH,NULL,NULL,19600,140
Empire Beauty School-Pottsville,PA,NULL,NULL,17600,50
Empire Beauty School-Prescott,AZ,NULL,NULL,17800,72
Empire Beauty School-Providence,RI,NULL,NULL,21000,113
Empire Beauty School-Queens,NY,NULL,NULL,14400,131
Empire Beauty School-Reading,PA,NULL,NULL,17500,111
Empire Beauty School-Richmond,VA,NULL,NULL,21500,108
Empire Beauty School-Rochester,NY,NULL,NULL,NULL,127
Empire Beauty School-Savannah,GA,NULL,NULL,17800,151
Empire Beauty School-Shamokin Dam,PA,NULL,NULL,14200,45
Empire Beauty School-Somersworth,NH,NULL,NULL,19600,101
Empire Beauty School-Speedway,IN,NULL,NULL,19800,155
Empire Beauty School-Spring Lake Park,MN,NULL,NULL,23000,109
Empire Beauty School-Springfield,PA,NULL,NULL,20500,193
Empire Beauty School-St Paul,MN,NULL,NULL,23000,61
Empire Beauty School-State College,PA,NULL,NULL,18600,30
Empire Beauty School-Stone Park,IL,NULL,NULL,NULL,178
Empire Beauty School-Thornton,CO,NULL,NULL,20400,132
Empire Beauty School-Tucson,AZ,NULL,NULL,18200,126
Empire Beauty School-Union,NJ,NULL,NULL,19900,117
Empire Beauty School-Vernon Hills,IL,NULL,NULL,NULL,60
Empire Beauty School-Virginia Beach,VA,NULL,NULL,23000,167
Empire Beauty School-Warminster,PA,NULL,NULL,26600,64
Empire Beauty School-Warwick,RI,NULL,NULL,20000,63
Empire Beauty School-Waterville,ME,NULL,NULL,16900,NULL
Empire Beauty School-West Greensboro,NC,NULL,NULL,21700,143
Empire Beauty School-West Mifflin,PA,NULL,NULL,19700,112
Empire Beauty School-West Palm,FL,NULL,NULL,19500,76
Empire Beauty School-Williamsport,PA,NULL,NULL,17400,33
Empire Beauty School-Wyoming Valley,PA,NULL,NULL,17400,150
Empire Beauty School-York,PA,NULL,NULL,21500,135
Empire College,CA,NULL,NULL,33100,411
Employment Solutions-College for Technical Education,KY,NULL,NULL,PrivacySuppressed,203
