name,city,state,adm_rate,pd1,pd3,pd4,pd5,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,pd19,pd22,pd23,pd24,pd25,pd26,pd27,pd29,pd30,pd31,pd38,pd39,pd40,pd41,pd42,pd43,pd44,pd45,pd46,pd47,pd48,pd49,pd50,pd51,pd52,pd54,pop,debt,earnings
Coker College,Hartsville,SC,0.509,0,0,0,0,0.0297,0,0,0,0.1017,0,0,0.0042,0,0,0.0212,0,0,0.0254,0.0127,0,0,0.1017,0,0,0.0169,0,0.1059,0,0.0975,0.1907,0,0,0,0,0.0593,0,0.1864,0.0466,1138,30112,31100
Colby College,Waterville,ME,0.2805,0,0.0629,0,0.0503,0,0,0.0231,0,0,0,0,0.044,0,0,0.0797,0,0,0.13,0.0314,0,0.0985,0,0.0377,0,0.065,0,0.0713,0,0,0.2348,0,0,0,0,0.0314,0,0,0.0398,1847,19195.5,52300
Colby-Sawyer College,New London,NH,0.9056,0,0.0488,0,0,0.0041,0,0,0,0.0976,0,0,0,0,0,0.0447,0.0203,0,0.0772,0,0,0.0813,0.1301,0.0041,0,0,0,0.0894,0,0,0.0488,0,0,0,0,0.0488,0.2033,0.1016,0,1351,27000,38800
Colgate University,Hamilton,NY,0.2624,0,0.0267,0,0.012,0,0,0.0187,0,0.0147,0,0,0.0494,0,0,0.0708,0,0,0.1135,0.0227,0,0.0374,0,0.0467,0,0.0587,0,0.0721,0,0,0.3271,0,0,0,0,0.0401,0,0,0.0895,2865,16114.5,60300
College for Creative Studies,Detroit,MI,0.4561,0,0,0,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8182,0,0,0,1376,27000,38600
College of Charleston,Charleston,SC,0.7802,0,0,0,0.005,0.0966,0,0.0204,0,0.0776,0,0,0.0259,0,0,0.0358,0,0,0.1289,0.0118,0,0.0399,0,0.0068,0,0.0295,0,0.0812,0,0,0.1053,0,0,0,0,0.0817,0.025,0.2024,0.0263,10069,22251,40500
College of Coastal Georgia,Brunswick,GA,0.9235,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0.3442,0,0.0176,0.0025,0,0,0,0,0,0,0,0.0955,0,0.0075,0,0,0,0,0,0,0.3291,0.0955,0,2833,16500,28500
College of Mount Saint Vincent,Bronx,NY,0.9521,0,0,0,0,0.0845,0,0,0,0,0,0,0.0054,0,0,0.0191,0.0218,0,0.03,0.0054,0,0,0,0,0,0.0027,0,0.0736,0,0,0.0872,0,0,0,0,0,0.515,0.139,0.0163,1671,27000,50600
College of Our Lady of the Elms,Chicopee,MA,0.7897,0,0,0,0,0,0,0.0151,0,0.0804,0,0,0.0025,0,0.0327,0.0126,0.0126,0,0.0226,0.0025,0,0,0,0.005,0,0.0025,0,0.0477,0.0176,0.1432,0.0151,0,0,0,0,0,0.4799,0.0905,0.0176,1336,26000,44300
College of Saint Benedict,Saint Joseph,MN,0.8218,0,0.0303,0,0.0061,0,0,0.0081,0,0.0889,0,0,0.0384,0,0,0.1535,0.002,0,0.103,0.0081,0,0.0848,0,0.002,0.004,0.0202,0,0.1172,0,0,0.0545,0,0,0,0,0.0424,0.0949,0.1273,0.0141,2020,26000,47200
College of Saint Elizabeth,Morristown,NJ,0.5759,0,0,0,0.0082,0.0247,0,0,0,0.0535,0,0,0.0082,0,0,0.0165,0,0,0.0329,0.0123,0,0.1276,0,0.0041,0.0329,0.0165,0,0.07,0,0,0.0329,0,0,0,0,0.0041,0.4321,0.107,0.0165,862,23000,44900
College of Saint Mary,Omaha,NE,0.5285,0,0,0,0,0,0,0.0095,0,0.0619,0,0,0.0286,0,0.019,0.0143,0.0476,0,0.0381,0.0048,0,0,0,0,0,0.0048,0,0.0476,0,0,0,0,0,0,0,0.0048,0.6429,0.0762,0,718,26041.5,36800
College of St Joseph,Rutland,VT,0.6558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.0333,0.0333,0,0,0,0,0.0667,0.1667,0.1,0,0,0,0,0,0,0.1,0.2,0,230,24127,34700
College of Staten Island CUNY,Staten Island,NY,0.9427,0,0,0,0.0041,0.0498,0,0.0313,0,0.0561,0.0139,0.0012,0.0064,0,0,0.0434,0.1134,0,0.0255,0.0087,0,0.0046,0,0.0058,0,0.0098,0,0.1337,0,0.0226,0.103,0,0,0,0,0.0237,0.1661,0.1568,0.0203,12944,14666,40600
College of the Atlantic,Bar Harbor,ME,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,19000,26400
College of the Holy Cross,Worcester,MA,0.4334,0,0,0,0,0,0,0,0,0,0,0,0.0854,0,0,0.1178,0,0,0.0707,0.0589,0,0.0177,0,0.0353,0,0.0663,0,0.1075,0,0,0.3137,0,0,0,0,0.028,0,0,0.0987,2754,27000,63100
College of William and Mary,Williamsburg,VA,0.3302,0,0,0,0.0223,0,0,0.0248,0,0,0,0,0.0229,0,0,0.0687,0,0,0.1202,0.0235,0,0.049,0.0509,0.0197,0,0.0687,0,0.0769,0,0.0197,0.2263,0,0,0,0,0.0273,0,0.131,0.0483,6256,19500,55000
Colorado Christian University,Lakewood,CO,0.9432,0,0,0,0,0.0411,0,0.0115,0,0.0985,0,0,0,0,0,0.0099,0.0296,0,0.0131,0,0,0.0131,0,0.0016,0.1314,0,0,0.1593,0.0181,0,0.0148,0,0,0,0,0.0082,0.1264,0.312,0.0115,3657,25808,36900
Colorado College,Colorado Springs,CO,0.179,0,0.0492,0,0.0265,0,0,0.0095,0,0,0,0,0.0246,0,0,0.0777,0.0189,0,0.2121,0.0189,0,0.0303,0,0.0417,0,0.0492,0,0.0227,0,0,0.2822,0,0,0,0,0.0985,0,0,0.0379,2036,19045,39700
Colorado Mesa University,Grand Junction,CO,0.8227,0,0.0173,0,0,0.0245,0.0022,0.0332,0.0238,0,0,0.0144,0.0043,0.0043,0,0.0195,0.0787,0,0.0375,0.0101,0,0,0.1105,0,0,0.0166,0,0.0375,0.0736,0.0036,0.0166,0.0217,0.0195,0.0289,0.0007,0.0404,0.2354,0.1112,0.0137,8413,22000,34600
Colorado School of Mines,Golden,CO,0.3647,0,0,0,0,0,0,0.0394,0,0,0.874,0,0,0,0,0,0,0,0,0.0472,0,0,0,0,0,0.0315,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,4383,26849,75700
Colorado State University-Fort Collins,Fort Collins,CO,0.8048,0.0564,0.0223,0.006,0.0015,0.0666,0,0.0196,0,0.0012,0.0684,0.0233,0.0087,0.0871,0,0.0241,0.0152,0,0.0975,0.0096,0,0.0129,0.0797,0.0037,0,0.015,0,0.0447,0.0035,0.0212,0.0915,0,0,0,0,0.0453,0.0058,0.147,0.022,22373,21000,44500
Colorado State University-Pueblo,Pueblo,CO,0.9278,0,0,0,0,0.0448,0,0.0353,0,0,0.0153,0.0224,0.0141,0,0,0.0506,0.0506,0,0.0353,0.0141,0,0,0.1025,0,0,0.0094,0,0.073,0,0.0718,0.1437,0,0,0,0,0.0506,0.106,0.1413,0.0188,4227,20500,35500
Columbia College,Columbia,SC,0.7905,0,0,0,0,0.0708,0,0.0221,0,0.115,0,0,0.0088,0.0752,0,0.0398,0.0177,0,0.0619,0.0177,0,0.0841,0,0,0,0.0265,0,0.1195,0,0.0841,0.0177,0,0,0,0,0.0841,0.0619,0.0885,0.0044,1117,27000,32400
Columbia College-Chicago,Chicago,IL,0.8853,0,0,0,0.0029,0.0934,0.0626,0,0,0.0064,0,0,0.0073,0,0,0.0421,0.0029,0,0,0,0,0.0088,0,0,0,0.0044,0,0,0,0,0,0,0,0,0,0.6411,0,0.1281,0,8929,26000,33000
Columbia College-Hollywood,Tarzana,CA,0.7849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,307,30829,30600
Columbia International University,Columbia,SC,0.3322,0,0,0,0.0131,0.0654,0,0,0,0,0,0,0.0065,0,0,0.0065,0.1242,0,0,0,0,0.0523,0,0,0.5882,0,0,0.1111,0,0,0,0,0,0,0,0,0,0.0327,0,552,20750,29900
Columbia University in the City of New York,New York,NY,0.0695,0,0.0053,0.0078,0.0306,0,0,0.0417,0,0,0.164,0,0.034,0,0,0.0548,0.0034,0,0.0781,0.0393,0,0.0189,0,0.0301,0,0.0344,0,0.048,0,0,0.2441,0,0,0,0,0.0422,0.0815,0,0.0417,8100,23000,75200
Columbus College of Art and Design,Columbus,OH,0.8864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1193,27000,31700
Columbus State University,Columbus,GA,0.5522,0,0,0,0,0,0,0.0392,0,0.1063,0.0009,0,0.0096,0,0,0.0505,0.0261,0,0.0279,0.0096,0,0.0017,0.0348,0,0,0.0148,0,0.0366,0.1925,0,0.0401,0,0,0,0,0.0627,0.1768,0.1559,0.0139,6715,25039,35000
Concord University,Athens,WV,0.3776,0,0,0,0,0.0186,0,0.0093,0,0.1879,0,0,0,0,0,0.0139,0.2111,0,0.0464,0.0162,0,0.0093,0,0,0,0.0696,0,0.0418,0,0.065,0.0557,0,0,0,0,0.0418,0.0093,0.1763,0.0278,2234,21200,32100
Concorde Career College-Aurora,Aurora,CO,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,761,9500,28700
Concorde Career College-Dallas,Dallas,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,555,9500,28700
Concorde Career College-Garden Grove,Garden Grove,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,974,10400,36600
Concorde Career College-Grand Prairie,Grand Prairie,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,987,9500,44400
Concorde Career College-Kansas City,Kansas City,MO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,590,9500,22100
Concorde Career College-Memphis,Memphis,TN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1310,9500,22500
Concorde Career College-North Hollywood,North Hollywood,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,620,9500,39900
Concorde Career College-Portland,Portland,OR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,804,9500,28600
Concorde Career College-San Antonio,San Antonio,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,547,9500,22100
Concorde Career College-San Bernardino,San Bernardino,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,668,9500,26800
Concorde Career College-San Diego,San Diego,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,967,9500,26400
Concorde Career Institute-Jacksonville,Jacksonville,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,652,9500,20100
Concorde Career Institute-Miramar,Miramar,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,640,9500,22500
Concorde Career Institute-Orlando,Orlando,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,436,9500,20100
Concorde Career Institute-Tampa,Tampa,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,411,9500,23000
Concordia College Alabama,Selma,AL,0.5328,0,0,0,0,0,0,0,0,0.2857,0,0,0,0,0,0,0.4603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,322,32000,19900
Concordia College at Moorhead,Moorhead,MN,0.6428,0,0.0137,0,0,0.0822,0,0.0068,0,0.1199,0,0,0.0154,0,0,0.0411,0.0034,0,0.1216,0.0205,0,0.0325,0.0411,0.0086,0,0.0479,0,0.0753,0,0.0291,0.0565,0,0,0,0,0.0634,0.0925,0.1147,0.0137,2296,27000,41300
Concordia College-New York,Bronxville,NY,0.7477,0,0,0,0,0,0,0,0,0.1027,0,0,0,0,0,0,0.0811,0,0.0919,0,0,0,0,0,0,0,0,0,0,0.027,0.1622,0,0,0,0,0,0.3189,0.2162,0,886,26000,43200
Concordia University-Chicago,River Forest,IL,0.5385,0,0.0035,0,0.0035,0.0314,0,0.0035,0,0.2753,0,0,0.0035,0,0,0.0174,0,0,0.0244,0.0035,0,0.0244,0.1115,0,0.0279,0.0035,0,0.0732,0,0.0244,0.0383,0,0,0,0,0.0453,0.0209,0.2334,0.0314,1491,25000,37300
Concordia University-Irvine,Irvine,CA,0.8608,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0.0138,0.0573,0,0.0415,0.0099,0,0.0455,0.0613,0,0.0178,0.004,0,0.1008,0,0,0.0138,0,0,0,0,0.0593,0.2174,0.2451,0.0296,1884,22589,42500
Concordia University-Nebraska,Seward,NE,0.7661,0,0.0039,0,0,0.0232,0,0.0116,0,0.4015,0,0,0.0077,0,0,0.0232,0,0,0.0618,0.0154,0,0.0193,0.0502,0,0.0541,0.027,0,0.0463,0,0,0.0193,0,0,0,0,0.0849,0,0.1313,0.0193,1232,26000,36100
Concordia University-Portland,Portland,OR,0.5262,0,0,0,0,0,0,0,0,0.1328,0,0,0,0,0,0.0258,0,0,0.0517,0,0,0.0295,0.0664,0,0.0148,0.0185,0,0.0517,0.0037,0.0775,0,0,0,0,0,0.0111,0.2952,0.2066,0.0148,1243,25000,40400
Concordia University-Saint Paul,Saint Paul,MN,0.5324,0,0,0,0,0.0234,0,0,0,0.0977,0,0,0,0.0828,0,0.0085,0.0361,0,0.0297,0.0064,0,0,0.0828,0,0.0149,0,0,0.034,0.0701,0,0.0064,0,0,0,0,0.0425,0.0446,0.4119,0.0085,2167,22500,48200
Concordia University-Texas,Austin,TX,0.8529,0,0.0033,0,0,0.0429,0,0,0,0.1287,0,0,0,0,0,0.0033,0.0495,0,0.0429,0.0033,0,0,0.0561,0,0.0627,0,0,0,0,0,0.0594,0,0,0,0,0.0099,0.1848,0.3432,0.0099,1525,25680.5,39900
Concordia University-Wisconsin,Mequon,WI,0.7541,0.0014,0.0028,0,0,0.0249,0,0.0235,0,0.0939,0.0014,0,0.0055,0,0,0.0069,0.0166,0,0.0456,0.0028,0,0.0166,0.0083,0.0014,0.0359,0.0014,0,0.0207,0.0953,0.0166,0.0014,0,0,0,0,0.0138,0.2873,0.2762,0,4280,23476,41200
Connecticut College,New London,CT,0.376,0,0,0.0216,0.0433,0,0,0.0216,0,0,0,0,0.0281,0.0173,0,0.0541,0,0,0.1688,0.0195,0,0.0043,0,0.0346,0,0.0065,0,0.1104,0,0,0.3312,0,0,0,0,0.1017,0,0,0.0368,1875,25933.5,51700
Converse College,Spartanburg,SC,0.5348,0,0,0,0,0,0,0,0,0.2266,0,0,0.0391,0,0,0.0547,0,0,0.1016,0.0078,0,0,0,0.0156,0,0.0156,0,0.1875,0,0,0.0234,0,0,0,0,0.1328,0.0547,0.0781,0.0625,822,27000,31200
Cooper Union for the Advancement of Science and Art,New York,NY,0.1506,0,0,0.1456,0,0,0,0,0,0,0.5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0,852,18250,53800
Coppin State University,Baltimore,MD,0.4312,0,0,0,0,0,0,0.0168,0,0.0461,0,0,0,0,0,0.0105,0.0587,0,0.0147,0.0021,0,0,0.0377,0,0,0,0,0.1153,0.1048,0.0922,0.0461,0,0,0,0,0.0105,0.3816,0.044,0.0189,2652,19500,35700
Corban University,Salem,OR,0.3738,0,0,0,0,0,0,0,0,0.1724,0,0,0,0,0,0.069,0.0345,0,0,0.0099,0,0,0.0443,0,0.0936,0,0,0.266,0,0,0.0246,0,0,0,0,0.0148,0.064,0.2069,0,924,25000,35100
Cornell College,Mount Vernon,IA,0.7363,0,0.0152,0,0.0038,0,0,0.019,0,0.0684,0,0,0.0342,0,0,0.0989,0.0152,0,0.1103,0.019,0,0.076,0.0684,0.0304,0,0.057,0,0.1027,0,0,0.1787,0,0,0,0,0.0684,0,0,0.0342,1082,27000,40900
Cornell University,Ithaca,NY,0.1419,0.135,0.0224,0.0359,0.0115,0.0188,0,0.0423,0,0.0011,0.1768,0,0.0115,0.0244,0,0.0157,0.0011,0,0.1361,0.0109,0,0.028,0,0.0028,0,0.0238,0,0.0221,0,0.0148,0.0938,0,0,0,0,0.0202,0,0.1373,0.0137,14195,12034.5,72100
Cornerstone University,Grand Rapids,MI,0.6884,0,0,0,0,0.0541,0,0,0,0.0753,0,0,0.0039,0.0058,0,0.0039,0.0212,0,0.0116,0.0039,0,0,0.0309,0,0.1062,0,0,0.1062,0,0.0618,0,0,0,0,0,0.029,0.0077,0.4749,0.0039,2020,23438,35700
Cornish College of the Arts,Seattle,WA,0.8552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,765,27000,28500
Cottey College,Nevada,MO,0.7063,0,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0.75,0,0,0,0,0,0,0,0,0,0,0.0417,0,0,0.025,0,0,0,0,0.0917,0,0.0167,0,269,12000,31100
Covenant College,Lookout Mountain,GA,0.9664,0,0,0,0,0,0,0.0247,0,0.1029,0,0,0.0329,0,0,0.1358,0,0,0.0741,0.0123,0,0.0864,0,0.037,0.0576,0.0206,0,0.0576,0,0,0.144,0,0,0,0,0.0864,0,0.07,0.0576,1066,21441,39600
Covenant School of Nursing and Allied Health,Lubbock,TX,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,327,13000,57100
Cox College,Springfield,MO,0.5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,744,21963,41400
Creighton University,Omaha,NE,0.7267,0,0.011,0,0.003,0.042,0,0.035,0,0.026,0,0.001,0.007,0,0.001,0.022,0,0,0.1091,0.007,0,0.004,0.043,0.012,0.006,0.041,0,0.0751,0,0.007,0.0771,0,0,0,0,0.022,0.2713,0.1562,0.021,3977,23250,57100
Crossroads College,Rochester,MN,0.9032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.2813,0,0,0.1875,0,0,0,0,0,0,0,0.0625,0,0.2188,0,96,27000,30400
Crown College,Saint Bonifacius,MN,0.284,0,0,0,0,0.0758,0,0,0,0.1327,0,0,0,0,0,0.0142,0.0379,0,0.0332,0,0,0,0.0047,0,0.3175,0,0,0.1137,0.0047,0,0,0,0,0,0,0.019,0.1185,0.1185,0.0095,1032,26259,31000
Culinary Institute of America,Hyde Park,NY,0.6369,0,0,0,0,0,0,0,0.7786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2214,0,2778,15490.5,42200
Culver-Stockton College,Canton,MO,0.5772,0,0,0,0,0.0276,0,0,0,0.1379,0,0,0,0,0.0414,0.0207,0.0345,0,0.0414,0,0,0,0.1034,0,0,0,0,0.1241,0.069,0,0.0138,0,0,0,0,0.0552,0.1241,0.1862,0.0207,931,23702,35800
Cumberland University,Lebanon,TN,0.4642,0,0,0,0,0,0,0.0059,0,0.1353,0,0,0,0,0,0.0294,0.0059,0,0.0176,0.0147,0,0,0.0029,0,0,0,0,0.0353,0.0441,0,0.0147,0,0,0,0,0.0324,0.5735,0.0882,0,1167,21875,38200
CUNY Bernard M Baruch College,New York,NY,0.279,0,0,0,0,0.0146,0,0.0409,0,0,0,0,0.0003,0,0,0.0133,0.0114,0,0.0052,0.0091,0,0,0,0.0016,0,0,0,0.0445,0,0.0149,0.0519,0,0,0,0,0.0091,0,0.7784,0.0049,14420,11000,54900
CUNY Brooklyn College,Brooklyn,NY,0.3533,0,0,0,0.0192,0.0552,0,0.0323,0,0.1357,0,0,0.0098,0,0,0.0323,0,0,0.0388,0.0102,0,0.0012,0.018,0.0123,0,0.0213,0,0.1525,0,0,0.0474,0,0,0,0,0.056,0.067,0.2805,0.0102,12925,10456,44500
CUNY City College,New York,NY,0.3806,0,0.0009,0.0274,0.0071,0.0439,0,0.0137,0,0.0524,0.1317,0,0.0123,0,0.0042,0.0637,0.0562,0,0.085,0.0184,0,0,0,0.0038,0,0.026,0,0.1596,0,0,0.1256,0,0,0,0,0.0954,0.0132,0.0321,0.0274,12175,11551,45800
CUNY Hunter College,New York,NY,0.3467,0,0.0049,0,0.0128,0.0573,0,0.0184,0,0.0104,0,0,0.0208,0.0087,0,0.1139,0,0,0.026,0.016,0,0,0,0.0108,0,0.0646,0,0.2441,0,0.0038,0.1632,0,0,0,0,0.0722,0.0865,0.0434,0.0222,15778,10053,45000
CUNY John Jay College of Criminal Justice,New York,NY,0.3731,0,0,0,0.0019,0,0,0.0101,0,0,0,0,0,0,0.0304,0.0184,0.015,0,0,0,0,0.0135,0,0.0008,0,0,0,0.1653,0.5548,0.0199,0.1589,0,0,0,0,0,0,0,0.0109,12758,10092,42400
CUNY Lehman College,Bronx,NY,0.2891,0,0.0016,0,0.0161,0.0249,0,0.0373,0,0.0295,0,0,0.0093,0,0,0.029,0.0073,0,0.0176,0.0057,0,0,0.0119,0.001,0,0.0047,0,0.0674,0,0.0767,0.1374,0,0,0,0,0.0275,0.2908,0.1928,0.0114,9417,10000,40400
CUNY Medgar Evers College,Brooklyn,NY,0.9194,0,0.001,0,0,0,0,0.0257,0,0.0623,0,0,0,0,0,0.0158,0.1296,0,0.0465,0.0089,0,0,0,0,0,0.1543,0,0.0762,0,0.0465,0,0,0,0,0,0,0.1721,0.2611,0,6241,8350,35000
CUNY New York City College of Technology,Brooklyn,NY,0.7278,0,0,0.0434,0,0,0,0.1198,0,0.0029,0,0.1408,0,0.0134,0.0315,0,0.0477,0,0,0.0053,0,0,0,0,0,0.0348,0.0038,0,0,0.0668,0,0,0,0,0,0.0883,0.253,0.1484,0,16354,10101.5,37500
CUNY Queens College,Queens,NY,0.3982,0,0.0064,0,0.0041,0.041,0,0.0264,0,0.0695,0,0,0.0206,0.0152,0,0.0467,0,0,0.0235,0.0162,0,0.0022,0.0152,0.0025,0,0.0057,0,0.1829,0,0,0.2213,0,0,0,0,0.0534,0.0384,0.1769,0.0318,14842,11000,47500
CUNY York College,Jamaica,NY,0.3713,0,0,0,0.001,0.0203,0.0116,0.0338,0,0.0309,0,0,0.0154,0,0,0.0347,0,0,0.0328,0.0183,0,0.0174,0,0.001,0,0.0164,0,0.1718,0,0.0724,0.0763,0,0,0,0.0183,0.0097,0.2336,0.1757,0.0087,7245,9500,38700
Curry College,Milton,MA,0.8688,0,0.0017,0,0,0.1053,0,0.0119,0,0.0306,0,0,0,0,0,0.0102,0.0119,0,0.0187,0,0,0,0,0,0,0,0,0.0968,0.1494,0,0.0238,0,0,0,0,0.0136,0.4075,0.1188,0,2843,26000,45700
D'Youville College,Buffalo,NY,0.6879,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0.0098,0,0,0.088,0.0024,0,0.088,0,0.0073,0,0.0024,0,0.0196,0,0,0.0244,0,0,0,0,0,0.6455,0.1051,0.0049,1796,25500,48000
Daemen College,Amherst,NY,0.549,0,0,0,0,0.0037,0.0239,0,0,0.0569,0,0,0.0055,0,0.0037,0.0073,0.0147,0,0.0073,0.0055,0,0.1615,0,0.0018,0,0,0,0.0349,0,0.033,0.011,0,0,0,0,0.033,0.4275,0.167,0.0018,1965,21765.5,38300
Dakota State University,Madison,SD,0.842,0,0,0,0,0,0,0.317,0,0.1471,0,0,0,0,0,0.0098,0.0686,0,0.0261,0.0131,0,0,0.0556,0,0,0,0,0,0,0,0,0,0,0,0,0.0392,0.1634,0.1601,0,1770,24750,37300
Dakota Wesleyan University,Mitchell,SD,0.7343,0,0.0182,0,0,0.0061,0,0.0061,0,0.1091,0,0,0,0,0,0.0061,0.0242,0,0.0364,0.0121,0,0.0121,0.1091,0.0182,0,0,0,0.0242,0.0303,0.0606,0,0,0,0,0,0.0182,0.3818,0.097,0.0303,765,27000,34500
Dallas Baptist University,Dallas,TX,0.4621,0,0,0,0,0.0897,0,0.0068,0,0.038,0,0,0,0,0,0.0122,0,0,0.0245,0.0136,0,0.1467,0.0326,0.0041,0.1005,0,0,0.1087,0.0149,0,0.0285,0,0,0,0,0.0652,0.0353,0.2704,0.0082,3357,22638,42400
Dallas Christian College,Dallas,TX,0.3796,0,0,0,0,0,0,0,0,0.0192,0,0,0,0,0,0,0,0,0,0,0,0.0962,0,0,0.4615,0,0,0.0769,0,0,0,0,0,0,0,0,0,0.3462,0,309,27121,37500
Dallas Nursing Institute,Dallas,TX,0.1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,160,19125,26700
Daniel Webster College,Nashua,NH,0.6289,0,0,0,0,0,0,0.069,0,0,0.1379,0,0,0,0,0,0,0,0,0,0,0,0.1149,0,0,0,0,0.0345,0.1609,0,0,0,0,0,0.2184,0.0575,0,0.2069,0,644,26999,50500
Dartmouth College,Hanover,NH,0.115,0,0.0332,0,0.0296,0,0,0.0385,0,0,0.0923,0,0.043,0,0,0.0448,0.0009,0,0.1138,0.0314,0,0.0188,0,0.0161,0,0.0367,0,0.0627,0,0,0.3297,0,0,0,0,0.0439,0,0,0.0645,4184,12000,67800
Davenport University,Grand Rapids,MI,0.9338,0,0,0,0,0,0.0046,0.121,0,0,0,0,0,0,0.0182,0,0,0,0.0059,0,0,0,0.0182,0,0,0,0,0,0.0072,0,0,0,0,0,0,0,0.3669,0.458,0,6348,27500,29000
Davidson College,Davidson,NC,0.2167,0,0.0425,0,0.0064,0,0,0,0,0,0,0,0.0764,0,0,0.0786,0,0,0.104,0.0531,0,0.0234,0,0.0425,0,0.0467,0,0.0998,0,0,0.3079,0,0,0,0,0.0403,0,0,0.0786,1765,16385,51800
Davis & Elkins College,Elkins,WV,0.5822,0,0.0226,0,0,0,0,0.0226,0,0.1073,0,0,0,0,0,0.0169,0,0,0.0508,0.0056,0,0.0169,0.0621,0.0056,0,0.0226,0,0.0339,0,0,0.1017,0,0,0,0,0.0339,0.226,0.2373,0.0339,839,23840.5,35000
