name,city,state,adm_rate,pd1,pd3,pd4,pd5,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,pd19,pd22,pd23,pd24,pd25,pd26,pd27,pd29,pd30,pd31,pd38,pd39,pd40,pd41,pd42,pd43,pd44,pd45,pd46,pd47,pd48,pd49,pd50,pd51,pd52,pd54,pop,debt,earnings
Alderson Broaddus University,Philippi,WV,0.4258,0,0,0,0,0.0229,0,0.0229,0,0.1145,0,0,0,0.0153,0,0.0458,0,0,0.0992,0.0076,0,0,0.0687,0.0229,0,0,0,0.0611,0,0,0.0458,0,0,0,0,0.0534,0.3206,0.0763,0.0229,1024,27000,46000
Alfred University,Alfred,NY,0.6944,0,0.0128,0,0,0.0255,0,0,0,0.0434,0.1582,0,0.0077,0,0,0.0332,0.0026,0,0.0459,0.0077,0,0.0077,0,0.0051,0,0.023,0,0.0791,0.0306,0,0.0357,0,0,0,0,0.3163,0.0357,0.1148,0.0153,1842,27000,41600
Alice Lloyd College,Pippa Passes,KY,0.3617,0,0,0,0,0,0,0,0,0.1735,0,0,0,0,0,0.0612,0.0204,0,0.2959,0,0,0,0.2143,0,0,0,0,0,0,0,0.0918,0,0,0,0,0,0,0.0612,0.0816,657,16495,33500
Allegheny College,Meadville,PA,0.7177,0,0.0896,0,0.0081,0.0672,0,0.0183,0,0,0.0061,0,0.0244,0,0,0.0855,0,0,0.1914,0.0224,0,0.0081,0,0.0143,0,0.0733,0,0.1263,0,0,0.1813,0,0,0,0,0.0305,0,0,0.053,1968,29046,48400
Allen College,Waterloo,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,379,17090.5,49100
Alliant International University-San Diego,San Diego,CA,0.3855,0,0,0,0,0.0029,0,0,0,0.8145,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0.0377,0.0203,0,0.0145,0,0,0,0,0,0,0.1072,0,236,3000,56000
Alma College,Alma,MI,0.7198,0,0.0106,0,0,0.0353,0,0.0071,0,0.0883,0,0,0.0071,0,0,0.0601,0,0,0.1025,0.0459,0,0.0106,0.159,0.0141,0,0.0283,0,0.0671,0,0,0.0601,0,0,0,0,0.0636,0.0106,0.1908,0.0389,1362,27000,43200
Alvernia University,Reading,PA,0.7479,0,0,0,0,0.024,0,0.0096,0,0.0624,0,0,0,0,0,0.0048,0.0192,0,0.024,0,0,0.0024,0.024,0.0024,0,0.0168,0,0.0624,0.1223,0.0528,0.0072,0,0,0,0,0.0048,0.3813,0.1727,0.0072,2272,27000,41900
Alverno College,Milwaukee,WI,0.6519,0,0.0029,0,0,0.0401,0.0115,0.0057,0,0.0401,0,0,0,0,0,0.0143,0.1175,0,0.0487,0.0057,0,0,0,0.0057,0,0.0115,0,0.0516,0,0.0401,0.0258,0,0,0,0,0.0315,0.3754,0.1605,0.0115,1689,32606.5,37100
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,0.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,280,12000,27800
