major_name
"Agriculture, Agriculture Operations, And Related Sciences"
"Natural Resources And Conservation"
"Architecture And Related Services"
"Area, Ethnic, Cultural, Gender, And Group Studies"
"Communication, Journalism, And Related Programs"
"Communications Technologies/Technicians And Support Services"
"Computer And Information Sciences And Support Services"
"Personal And Culinary Services"
"Education"
"Engineering"
"Engineering Technologies And Engineering-Related Fields"
"Foreign Languages, Literatures, And Linguistics"
"Family And Consumer Sciences/Human Sciences"
"Legal Professions And Studies"
"English Language And Literature/Letters"
"Liberal Arts And Sciences, General Studies And Humanities"
"Library Science"
"Biological And Biomedical Sciences"
"Mathematics And Statistics"
"Military Technologies And Applied Sciences"
"Multi/Interdisciplinary Studies"
"Parks, Recreation, Leisure, And Fitness Studies"
"Philosophy And Religious Studies"
"Theology And Religious Vocations"
"Physical Sciences"
"Science Technologies/Technicians"
"Psychology"
"Homeland Security, Law Enforcement, Firefighting And Related Protective Services"
"Public Administration And Social Service Professions"
"Social Sciences"
"Construction Trades"
"Mechanic And Repair Technologies/Technicians"
"Precision Production"
"Transportation And Materials Moving"
"Visual And Performing Arts"
"Health Professions And Related Programs"
"Business, Management, Marketing, And Related Support Services"
"History"
