name	state	adm_rate	cost	earnings	pop	mdn_debt
University of California-Berkeley	CA	0.1602	13707	60800	27126	14200
University of California-Davis	CA	0.4037	15514	56400	27547	14833
University of California-Irvine	CA	0.3742	12771	54500	24474	17000
University of California-Los Angeles	CA	0.1856	13399	59600	29627	16126
University of California-Riverside	CA	0.5829	13144	47200	18784	19500
University of California-San Diego	CA	0.3329	14136	59000	24801	19000
University of California-Santa Barbara	CA	0.3634	15755	51400	20237	16800
University of California-Santa Cruz	CA	0.5572	16086	43000	16277	19884
