name,state,adm_rate,cost,earnings,pop,debt,ucflag
Delta State University,MS,0.9234,15335,34100,2778,22500,0
Dickinson State University,ND,0.6103,10703,38800,1231,19500,0
Dutchess BOCES-Practical Nursing Program,NY,0.4918,18331,36500,155,9500,0
East Carolina University,NC,0.7728,14981,39000,21207,24360,0
East Central University,OK,0.9719,6100,34500,3636,18010,0
East Stroudsburg University of Pennsylvania,PA,0.8146,17598,43000,6125,24250,0
East Tennessee State University,TN,0.9174,14800,34800,11162,20000,0
Eastern Center for Arts and Technology,PA,0.6154,14788,50100,106,9500,0
Eastern Connecticut State University,CT,0.631,18450,43400,4793,22500,0
Eastern Illinois University,IL,0.4976,17127,39900,7525,23250,0
Eastern Kentucky University,KY,0.7387,10686,34100,13323,23500,0
Eastern Michigan University,MI,0.6887,12955,37100,17723,26000,0
Eastern New Mexico University-Main Campus,NM,0.6306,10090,29300,3731,15750,0
Eastern Oregon University,OR,0.6418,15551,37200,2997,22466,0
Eastern Suffolk BOCES,NY,0.9596,15061,46400,346,9500,0
Eastern Washington University,WA,0.7439,12619,41000,12402,20800,0
Edinboro University of Pennsylvania,PA,0.993,15053,34400,5494,27000,0
Elizabeth City State University,NC,0.49,2509,29500,1763,26000,0
Emporia State University,KS,0.7649,13970,35700,3777,20848,0
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,0.9273,1869,17200,555,PrivacySuppressed,0
Fairmont State University,WV,0.6651,8756,33400,3699,22529.5,0
Farmingdale State College,NY,0.4665,9516,46600,7768,15958.5,0
Fashion Institute of Technology,NY,0.4428,12442,45200,8260,20000,0
Fayetteville State University,NC,0.5032,6794,30500,4862,21278,0
Ferris State University,MI,0.7842,13230,41500,12632,24425.5,0
Fitchburg State University,MA,0.7231,13737,40500,4134,22650,0
Florida Agricultural and Mechanical University,FL,0.4895,12327,35400,7995,27750,0
Florida Atlantic University,FL,0.6603,13372,40700,24228,16836,0
Florida Gulf Coast University,FL,0.5888,13624,41400,13253,18750,0
Florida International University,FL,0.5278,11845,43700,39102,17250,0
