X,Y,OBJECTID,Building_Code,School_Name,Type,Authorized_Grades,District,Charter_Authorizer,ESP_2013_2014,Street_Address,School_Type,Zip,Alternative_Flag,School_Label,SkillmanArea,SkillmanAreaAlt,TotalStudentsFall2013,SchoolType2,TotalStudentMiles,AvgStudentMiles
-83.171372752961602,42.414579208460331,44,07425,"Martin Luther King, Jr. Education Center Academy",K8,"KG,KG-Part,1,2,3,4,5,6,7,8","Martin Luther King, Jr. Education Center Academy",Detroit City School District,Self-managed,16827 Appoline St,DPS Charter,48235,,"Martin Luther King, Jr. Education Center Academy",,,284,Charter,972.729338,3.425103
-82.948240413608644,42.413404553337223,45,09705,Marvin L. Winans Academy of Performing Arts Elementary,K8,"KG-Part,1,2,3,4,5",Marvin L. Winans Academy of Performing Arts,Saginaw Valley State University,Solid Rock,9740 Mckinney St,Charter,48224,,Marvin L. Winans Academy of Performing Arts Elementary,,,681,Charter,2630.503017,3.862706
-83.151505240985827,42.409717323073949,46,01518,Mary McLeod Bethune Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Education Achievement System-EAS,,,8145 Puritan Street,EAA,48238,,Mary McLeod Bethune Elementary-Middle School,,,634,EAA,767.083926,1.209912
-83.142125302857835,42.327420349796071,47,08671,Universal Academy,K12,"KG,1,2,3,4,5,6,7,8,9,10,11,12",Universal Academy,Oakland University,"Hamadeh Educational Services, Inc.",4612 Lonyo St,Charter,48210,,Universal Academy,Chadsey/Condon,Chadsey/Condon,645,Charter,836.683864,1.297184
-83.077212221024837,42.362125196083568,48,09887,University Preparatory Academy Elementary Ellen Thompson,K8,"KG-Part,1,2,3,4,5",University Preparatory Academy (PSAD),Grand Valley State University,Detroit 90/90,957 Holden St,Charter,48202,,University Preparatory Academy Elementary Ellen Thompson,Northend Central,Northend Central,414,Charter,2877.364362,6.950155
-83.073202726376792,42.36551219416242,49,09908,University Preparatory Academy Elementary Mark Murray,K8,"KG-Part,1,2,3,4,5",University Preparatory Academy (PSAD),Grand Valley State University,Detroit 90/90,435 Amsterdam St,Charter,48202,,University Preparatory Academy Elementary Mark Murray,Northend Central,Northend Central,419,Charter,3209.109017,7.658971
-83.053847834695915,42.441679238113572,50,02431,Mason Elementary School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,19955 Fenelon,DPS,48234,,Mason Elementary School,,,631,Detroit City District,1466.454036,2.324016
-83.093274114716039,42.316538553624966,51,02448,Maybury Elementary School,K8,"KG,1,2,3",Detroit City School District,,,4410 Porter St,DPS,48209,,Maybury Elementary School,Southwest Detroit Neighborhoods,Southwest,332,Detroit City District,411.279214,1.238793
-83.206176528143416,42.438132454931264,52,09099,Michigan Technical Academy Elementary,K8,"KG,1,2,3,4",Michigan Technical Academy,Central Michigan University,Midwest Management Group Inc.,19940 Mansfield St,Charter,48235,,Michigan Technical Academy Elementary,,,617,Charter,2143.578503,3.474195
-83.132619466389031,42.338023358518029,53,00858,Munger Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,5525 Martin,DPS,48216,,Munger Elementary-Middle School,Chadsey/Condon,Chadsey/Condon,869,Detroit City District,1120.520361,1.289437
